sample_height,host,balance_gas
114,c1,93.9188
114,c2,95.8714
114,c3,96.8756
114,c4,97.434
114,c5,97.9358
114,m1,108.8908
114,m2,44.7947
114,m3,61.7124
114,ca,49.3572
116,c1,93.6942
116,c2,95.7596
116,c3,96.7636
116,c4,97.378
116,c5,97.8798
116,m1,109.3756
116,m2,45.0749
116,m3,61.7124
116,ca,49.3572
118,c1,93.4694
118,c2,95.5918
118,c3,96.6516
118,c4,97.266
118,c5,97.7678
118,m1,109.9358
118,m2,45.0749
118,m3,61.7124
118,ca,49.3572
121,c1,93.301
121,c2,95.4798
121,c3,96.5398
121,c4,97.21
121,c5,97.7118
121,m1,7.206
121,m2,19.2744
121,m3,49.7247
121,ca,49.3572
124,c1,93.0766
124,c2,95.3122
124,c3,96.428
124,c4,97.0982
124,c5,97.656
124,m1,108.1142
124,m2,119.2744
124,m3,49.9833
124,ca,49.3572
128,c1,92.8518
128,c2,95.2006
128,c3,96.316
128,c4,97.0422
128,c5,97.6
128,m1,109.1354
128,m2,119.198
128,m3,49.8783
128,ca,49.3572
130,c1,92.627
130,c2,95.0326
130,c3,96.204
130,c4,96.9304
130,c5,97.488
130,m1,109.4718
130,m2,119.198
130,m3,49.8783
130,ca,49.3572
133,c1,92.4586
133,c2,94.9206
133,c3,96.148
133,c4,96.8746
133,c5,97.4322
133,m1,7.1884
133,m2,48.9238
133,m3,40.2574
133,ca,49.3572
135,c1,92.2342
135,c2,94.7526
135,c3,96.0362
135,c4,96.7626
135,c5,97.3764
135,m1,108.419
135,m2,48.9238
135,m3,40.2574
135,ca,49.3572
138,c1,92.0096
138,c2,94.6406
138,c3,95.9246
138,c4,96.7068
138,c5,97.3204
138,m1,108.8732
138,m2,48.8474
138,m3,40.182
138,ca,49.3572
141,c1,91.785
141,c2,94.473
141,c3,95.8128
141,c4,96.5948
141,c5,97.2644
141,m1,109.8588
141,m2,48.8474
141,m3,40.182
141,ca,49.3572
144,c1,91.6166
144,c2,94.3612
